LSU Tissue#,Date Collected,Location,Lat.,Long.,Sex,Culmen Length (mm),Tarsus (mm),Wing Chord (mm),Tail (mm),Mass (g),Fat Mass (g),Lean Mass (g)
B-97096,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,11.02,16.5,141,78,30.93,3.84,22.15
B-97097,2/19/21,"Grosse Tete, LA",30.4,-91.42,F,9.82,16.78,144,76,35.79,4.86,25.67
B-97098,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,9.92,16.15,143,74,31.45,4.59,22.11
B-97099,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,10.97,15.33,146,77,38.91,5.76,28.74
B-97100,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,10.56,14.6,146,77,32.39,4.05,23.66
B-97101,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,10.39,15.65,144,74,32.16,NA,NA
B-97102,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,10.99,14.14,141,73,32.9,5.94,25.24
B-97103,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,10.3,15.38,148,78,34.18,5.27,25.15
B-97104,2/19/21,"Grosse Tete, LA",30.4,-91.42,M,11.25,14.24,145,80,30.97,3.29,22.37
B-97105,2/20/21,"Maurice, LA",30.08,-92.2,F,11.73,16.4,144,71,30.69,4.78,21.52
B-97106,2/20/21,"Maurice, LA",30.08,-92.2,M,11.51,14.2,144,75,33.13,5,22.93
B-97107,2/20/21,"Maurice, LA",30.08,-92.2,M,11.83,16.03,153,73,37.25,4.69,27.1
B-97108,2/20/21,"Maurice, LA",30.08,-92.2,M,11.25,15.16,133,68,29.31,4.43,19.93
B-97109,2/20/21,"Maurice, LA",30.08,-92.2,M,11.18,15.47,142,72,32.42,5.07,22.06
B-97110,2/20/21,"Maurice, LA",30.08,-92.2,M,11.13,14.74,149,72,31.42,4.71,21.48
B-97111,2/20/21,"Maurice, LA",30.08,-92.2,M,12.05,14.5,144,52,35.43,5.56,25.11
B-97112,2/20/21,"Maurice, LA",30.08,-92.2,M,12.04,13.66,149,75,31.77,3.93,22.48
B-97113,2/20/21,"Maurice, LA",30.08,-92.2,M,13.39,17.56,144,73,37.2,6.26,26.18
B-97114,2/20/21,"Maurice, LA",30.08,-92.2,M,11.87,14.58,141,69,29.85,4.84,19.71
B-97115,2/20/21,"Maurice, LA",30.08,-92.2,F,11.97,15.35,141,69,32.05,4.39,22.72
B-97116,2/20/21,"Maurice, LA",30.08,-92.2,M,12.38,14.13,148,75,29.59,4.49,20.09
B-97117,2/20/21,"Maurice, LA",30.08,-92.2,M,10.59,14.09,142,70,34.51,4.95,23.83
