LSU Tissue#,Date Collected,Location,Lat.,Long.,Sex,Culmen Length (mm),Tarsus (mm),Wing Chord (mm),Tail (mm),Mass (g),Fat Mass (g),Lean Mass (g)
B-13728,2/20/21,"Giddings, TX",30.19,-96.93,F,11.29,15.24,141,74,33.23,4.35,23.69
B-13729,2/20/21,"Giddings, TX",30.19,-96.93,F,10.5,14.86,140,75,33.63,4.82,24.06
B-13730,2/20/21,"Giddings, TX",30.19,-96.93,M,10.47,14.79,145,76,36.87,5.75,25.98
B-13731,2/20/21,"Giddings, TX",30.19,-96.93,M,11.45,15.15,147,80,34.48,5.12,23.85
B-13732,2/20/21,"Giddings, TX",30.19,-96.93,M,11.1,14.61,150,79,32.16,4.65,21.27
B-13733,2/20/21,"Giddings, TX",30.19,-96.93,F,10.91,15.54,144,76,32.39,4.15,22.97
B-13734,2/20/21,"Giddings, TX",30.19,-96.93,M,10.01,15.18,147,73,31.68,4.25,21.71
B-13735,2/20/21,"Giddings, TX",30.19,-96.93,M,10.81,15.36,146,76,35.76,5.71,24.45
B-13736,2/20/21,"Giddings, TX",30.19,-96.93,M,10.28,15.51,145,77,32.62,4.39,23.1
B-13737,2/20/21,"Corpus Christi, TX",27.59,-97.24,F,11.82,15.59,146,75,33.2,5.33,22.75
B-13738,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,11.81,14.95,148,73,33.81,5.92,21.92
B-13739,2/20/21,"Corpus Christi, TX",27.59,-97.24,F,12.18,15.71,148,74,37.25,6.7,25.83
B-13740,2/20/21,"Corpus Christi, TX",27.59,-97.24,F,11.76,15.63,141,72,32.38,5.15,21.27
B-13741,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,10.01,15.66,147,76,38.65,6.81,25.84
B-13742,2/20/21,"Corpus Christi, TX",27.59,-97.24,F,12.34,15.7,145,74,31.92,4.68,21.37
B-13743,2/20/21,"Corpus Christi, TX",27.59,-97.24,F,11.92,14.53,140,67,29.39,4.68,19.59
B-13744,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,11.45,15.4,150,77,32.89,4.45,22.97
B-13745,2/20/21,"Corpus Christi, TX",27.59,-97.24,F,11.09,14.36,142,73,25.86,3.9,16.29
B-13746,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,11.02,15.41,148,78,32.44,4.12,22.09
B-13747,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,10.79,15.89,145,79,31.35,4.42,21.92
B-13748,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,9.47,14.66,143,74,32.01,4.1,22.67
B-13749,2/20/21,"Corpus Christi, TX",27.59,-97.24,F,11.31,14.71,148,75,33.41,5.56,22.6
B-13750,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,10.72,14.86,149,80,30.6,3.79,21.04
B-13751,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,10.52,14.9,145,77,29.41,3.63,19.97
B-13752,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,10.46,15.61,150,79,35.04,5.48,23.4
B-13753,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,10.8,14.97,145,77,30.71,3.13,21.89
B-13754,2/20/21,"Corpus Christi, TX",27.59,-97.24,M,11.14,15.5,151,79,29.34,4.17,19.76
B-13757,2/21/21,"San Antonio, TX",29.46,-98.5,M,11.62,15.49,147,74,45.62,13.89,25.2
B-13758,2/21/21,"San Antonio, TX",29.46,-98.5,M,11.97,14.53,145,63,32.89,6.2,21.04
B-13760,2/21/21,"Corpus Christi, TX",27.6,-97.23,M,NA,14.23,149,76,27.84,NA,NA
B-13761,2/21/21,"Corpus Christi, TX",27.6,-97.23,F,10.92,15.43,143,71,34.93,5.91,22.96
B-13762,2/21/21,"Corpus Christi, TX",27.6,-97.23,M,11.62,14.89,145,75,33.59,4.58,22.43
B-13763,2/21/21,"Port Arthur, TX",29.97,-93.91,M,11.29,15.2,143,73,36.72,6.37,24.28
B-13764,2/21/21,"Port Arthur, TX",29.97,-93.91,F,11.12,14.58,148,70,31.98,4.56,21.96
B-13765,2/21/21,"Port Arthur, TX",29.97,-93.91,M,11.18,14.37,145,66,34.71,5.84,23.01
B-13766,2/21/21,"Port Arthur, TX",29.97,-93.91,F,11.76,15.14,148,76,33.19,5.44,21.78
B-13767,2/21/21,"Port Arthur, TX",29.97,-93.91,M,10.77,14.58,145,75,31.06,4.18,21.22
B-13768,2/21/21,"Port Arthur, TX",29.97,-93.91,M,11.75,15.21,146,73,32.2,4.59,21.27
B-13769,2/21/21,"Port Arthur, TX",29.97,-93.91,M,10.4,15.09,147,76,32.33,3.77,22.02
B-13770,2/21/21,"Port Arthur, TX",29.97,-93.91,M,10.9,15.18,146,79,30.75,4.36,19.46
B-13771,2/21/21,"Port Arthur, TX",29.97,-93.91,M,10.44,15.23,148,74,33.97,4.11,23.61
B-13772,2/21/21,"Port Arthur, TX",29.97,-93.91,M,10.4,14.96,151,76,39,7.84,24.36
B-13773,2/21/21,"Port Arthur, TX",29.97,-93.91,M,11.05,15.42,147,75,35.35,4.93,25.01
B-13774,2/21/21,"Port Arthur, TX",29.97,-93.91,F,9.86,15.23,140,76,33.35,4.2,23.63
B-13775,2/21/21,"Port Arthur, TX",29.97,-93.91,F,10.34,14.58,145,73,33.9,5.01,22.81
B-13776,2/21/21,"Port Arthur, TX",29.97,-93.91,F,11.01,14.63,143,74,33.52,4.53,22.63
B-13777,2/21/21,"Port Arthur, TX",29.97,-93.91,M,10.43,15.54,150,75,33.19,4.49,23.39
B-13778,2/21/21,"Port Arthur, TX",29.97,-93.91,F,11.03,14.88,140,74,32.2,4.42,22.41
B-13779,2/21/21,"Port Arthur, TX",29.97,-93.91,M,10.94,15.38,150,76,34.45,4.87,23.37

B-13780,2/21/21,"San Antonio, TX",29.46,-98.5,M,10.66,15.27,148,76,33.52,NA,NA

