Latitude,Longitude,Adult Arrival Date
30.0220671,-90.4575987,1/24/21
30.2466895,-90.8770165,1/24/21
30.5193086,-90.9872016,1/24/21
30.266477,-90.999644,1/24/21
28.5717566,-81.7351029,1/24/21
31.5403155,-85.9100089,1/24/21
28.9333403,-81.9150009,1/24/21
30.2832728,-92.0049132,1/24/21
30.1907634,-94.0318097,1/24/21
30.4519149,-90.4933959,1/24/21
25.6178718,-80.4212855,1/24/21
30.2108699,-81.9513292,1/24/21
27.9525749,-80.66178,1/24/21
27.5906928,-97.2360639,1/24/21
27.805412,-97.0937189,1/24/21
25.7238109,-80.3975477,1/25/21
32.5499504,-83.6409737,1/25/21
32.0046611,-82.4794787,1/25/21
33.3731475,-85.1788123,1/25/21
33.8465566,-80.0291494,1/25/21
29.9497672,-92.2915501,1/25/21
31.1222014,-85.6786794,1/25/21
30.0520223,-90.7519746,1/25/21
29.9266729,-91.0370071,1/25/21
28.506808,-81.7771214,1/25/21
30.5827778,-96.5927438,1/25/21
30.4043325,-84.2110406,1/25/21
29.2184668,-98.2135016,1/25/21
30.3104594,-81.4844925,1/25/21
26.3116811,-80.1550599,1/25/21
28.8594413,-81.9363251,1/25/21
32.7484159,-82.7713923,1/25/21
33.009703,-93.754189,1/25/21
28.51352,-82.2760799,1/25/21
26.0603716,-80.1517986,1/25/21
29.6115178,-90.7851377,1/25/21
32.400223,-86.5397321,1/25/21
31.526968,-83.7832464,1/25/21
30.4355086,-91.0982694,1/25/21
28.0764639,-80.6567087,1/25/21
30.5775577,-92.2016941,1/25/21
26.0334017,-80.3486475,1/25/21
30.8729661,-97.1249919,1/25/21
31.2107098,-92.1549436,1/25/21
29.9103567,-91.2165632,1/25/21
30.566774,-87.6868329,1/25/21
31.04574,-92.4529,1/25/21
30.6955254,-83.1861893,1/25/21
30.1584305,-93.2443582,1/26/21
33.3283966,-94.1191898,1/26/21
31.5134458,-92.468904,1/26/21
30.3339025,-91.8114566,1/26/21
29.7026474,-95.1270627,1/26/21
30.480425,-90.8991402,1/26/21
32.6833486,-95.7457899,1/26/21
26.7739975,-82.0433741,1/26/21
30.3699353,-91.2820349,1/26/21
29.899689,-90.094035,1/26/21
29.6012549,-95.8644132,1/26/21
29.74347,-82.578264,1/26/21
30.676794,-94.907613,1/26/21
33.8823601,-79.5619441,1/26/21
31.8320535,-84.5181022,1/27/21
31.379203,-83.8526702,1/27/21
29.6486132,-90.5366035,1/27/21
30.61498,-84.990262,1/27/21
26.3071393,-81.8144416,1/27/21
29.465569,-90.3168436,1/27/21
31.0422997,-89.9345905,1/27/21
28.1842693,-81.2734342,1/27/21
30.5542587,-88.3444968,1/27/21
31.3100185,-92.4983133,1/27/21
31.3100185,-92.4983133,1/27/21
34.6658902,-79.2528017,1/27/21
29.7279394,-95.8348356,1/27/21
32.5976011,-86.2076302,1/27/21
29.5772739,-90.7428665,1/28/21
26.9728433,-82.0913943,1/28/21
31.7965395,-84.5012606,1/28/21
30.0158887,-90.2703489,1/28/21
30.0159807,-90.0834009,1/28/21
32.6406893,-86.3276962,1/28/21
30.5626065,-96.2810204,1/28/21
29.4953336,-89.7127238,1/28/21
30.3129367,-87.6623789,1/28/21
30.3789888,-87.6946471,1/28/21
29.9639639,-91.7329942,1/29/21
33.8461297,-80.0310921,1/29/21
30.5276424,-91.0234995,1/29/21
27.6856656,-97.4110988,1/29/21
31.0182408,-87.5014968,1/29/21
30.42434,-88.104901,1/29/21
29.5651005,-97.9337075,1/29/21
29.5046466,-95.0149142,1/29/21
27.6013168,-97.2277238,1/29/21
30.234925,-92.2684617,1/29/21
31.1564342,-85.2788959,1/29/21
30.246602,-94.7414996,1/29/21
28.3452464,-81.6031663,1/29/21
29.5927339,-90.7601511,1/29/21
35.0951356,-77.1360002,1/30/21
30.0582421,-95.7222259,1/30/21
34.0414001,-80.034608,1/30/21
30.3870679,-96.5767462,1/30/21
29.510626,-97.4120301,1/30/21
30.5676159,-89.6476135,1/30/21
30.284535,-94.959148,1/30/21
32.7198403,-96.4404895,1/30/21
31.060623,-87.428363,1/30/21
29.5508331,-95.8160805,1/30/21
30.9371266,-94.0857244,1/30/21
29.864973,-82.567725,1/30/21
32.5029516,-86.9907148,1/30/21
33.6503632,-80.8013582,1/30/21
30.2974833,-91.1160807,1/31/21
31.233673,-92.438443,1/31/21
29.6460444,-92.4471286,1/31/21
30.957628,-83.7401879,1/31/21
29.474424,-94.924435,1/31/21
32.1480766,-95.3011477,1/31/21
30.4560999,-96.2308168,1/31/21
